chebi_id,name,description,formula,mass,charge,monoisotopic_mass,smiles,inchikey,ontology_parents,ontology_parent_ids,kegg_compound_id
CHEBI:10642,scyllo-inositol,,,180.156,0.0,,,,inositol,CHEBI:24848,C06153
CHEBI:10980,(R)-3-(4-hydroxyphenyl)lactate,,,181.167,-1.0,,,,(2R)-2-hydroxy monocarboxylic acid anion; 3-(4-hydroxyphenyl)lactate,CHEBI:58314; CHEBI:36659,C03964
CHEBI:10983,(R)-3-hydroxybutyrate,The conjugate base of (<i>R</i>)-3-hydroxybutyric acid.,,103.097,-1.0,,,,3-hydroxybutyrate,CHEBI:37054,C01089
CHEBI:1156,2-hydroxyestrone,A 2-hydroxy steroid that is estrone substituted by a hydroxy group at position 2.,,286.371,0.0,,,,2-hydroxy steroid; catechols,CHEBI:36857; CHEBI:33566,C05298
CHEBI:116314,oleamide,A fatty amide derived from oleic acid.,,281.484,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:11892,N-carbamoyl-beta-alaninate,A monocarboxylic acid anion that is the conjugate base of <em>N</em>-carbamoyl-β-alanine arising from deprotonation of the carboxy group.,,131.111,-1.0,,,,monocarboxylic acid anion,CHEBI:35757,
CHEBI:131705,2'-deoxynucleoside 3'-monophosphate(2-),An organophosphate oxoanion obtained by deprotonation of the phosphate OH groups of any 2'-deoxynucleoside 3'-monophosphate; major species at pH 7.3.,,195.087,-2.0,,,,organophosphate oxoanion,CHEBI:58945,
CHEBI:131725,coproporphyrin III(4-),A cyclic tetrapyrrole anion obtained by deprotonation of the four carboxy groups of coproporphyrin III; major species at pH 7.3.,,650.688,-4.0,,,,cyclic tetrapyrrole anion,CHEBI:58941,
CHEBI:131964,"(14S,15R)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>S</i>,15<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,319.465,-1.0,,,,"14,15-EET(1-)",CHEBI:84024,
CHEBI:131965,"(14R,15S)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>R</i>,15<i>S</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,319.465,-1.0,,,,"14,15-EET(1-)",CHEBI:84024,
CHEBI:131969,"(11S,12R)-EET(1-)","An 11,12-EET(1−) that is the conjugate base of (11<i>S</i>,12<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,319.465,-1.0,,,,"11,12-EET(1-)",CHEBI:76625,
CHEBI:131970,"(11R,12S)-EET(1-)","An 11,12-EET(1−) that is the conjugate base of (11<i>R</i>,12<i>S</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,319.465,-1.0,,,,"11,12-EET(1-)",CHEBI:76625,
CHEBI:131974,"(8S,9R)-EET(1-)","An 8,9-EET(1−) that is the conjugate base of (8<i>S</i>,9<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,319.465,-1.0,,,,"8,9-EET(1-)",CHEBI:84025,
CHEBI:132028,tauroursodeoxycholate,An organosulfonate oxoanion that is the conjugate base of tauroursodeoxycholic acid arising from deprotonation of the sulfonate OH group; major species at pH 7.3.,,498.706,-1.0,,,,organosulfonate oxoanion; cholanic acid conjugate anion,CHEBI:33554; CHEBI:131879,
CHEBI:132030,glycoursodeoxycholate,A <em>N</em>-acylglycinate that is the conjugate base of glycoursodeoxycholic acid. obtained by deprotonation of the carboxy group; major species at pH 7.3.,,448.624,-1.0,,,,N-acylglycinate; cholanic acid conjugate anion,CHEBI:57670; CHEBI:131879,
CHEBI:132049,N-tetracosanoyltaurine(1-),A fatty acid-taurine conjugate obtained by deprotonation of the sulfonate group of <em>N</em>-tetracosanoyltaurine; major species at pH 7.3.,,474.772,-1.0,,,,fatty acid-taurine conjugate(1-),CHEBI:132040,
CHEBI:132083,18(S)-HEPE(1-),"An 18-HEPE(1−) that is the conjugate base of 18(<i>S</i>)-HEPE, arising from deprotonation of the carboxylic acid group; major species at pH 7.3.",,317.449,-1.0,,,,18-HEPE(1-),CHEBI:90825,
CHEBI:132087,15(S)-HEPE(1-),"A HEPE(1−) that is the conjugate base of 15(<i>S</i>)-HEPE, arising from deprotonation of the carboxylic acid group; major species at pH 7.3.",,317.449,-1.0,,,,long-chain fatty acid anion; HEPE(1-),CHEBI:57560; CHEBI:131874,
