uniprot_id,chebi_id,link_type
Q8IV08,CHEBI:13197,substrate/product
Q8IV08,CHEBI:15377,substrate/product
Q8IV08,CHEBI:15378,substrate/product
Q8IV08,CHEBI:138284,substrate/product
Q8IV08,CHEBI:231871,substrate/product
Q8IV08,CHEBI:60837,substrate/product
Q8IV08,CHEBI:231870,substrate/product
Q8IV08,CHEBI:131705,substrate/product
Q8IV08,CHEBI:136416,substrate/product
Q8IV08,CHEBI:231873,substrate/product
Q8IV08,CHEBI:43474,substrate/product
Q8IV08,CHEBI:136412,substrate/product
Q8IV08,CHEBI:17754,substrate/product
Q8IV08,CHEBI:64683,substrate/product
Q8IV08,CHEBI:77717,substrate/product
Q8IV08,CHEBI:232393,substrate/product
Q8IV08,CHEBI:75757,substrate/product
Q8IV08,CHEBI:139150,substrate/product
Q8IV08,CHEBI:232394,substrate/product
P03891,CHEBI:15378,substrate/product
P03891,CHEBI:16389,substrate/product
P03891,CHEBI:17976,substrate/product
P03891,CHEBI:57540,substrate/product
P03891,CHEBI:57945,substrate/product
P53041,CHEBI:15377,substrate/product
P53041,CHEBI:29999,substrate/product
P53041,CHEBI:43474,substrate/product
P53041,CHEBI:83421,substrate/product
P53041,CHEBI:30013,substrate/product
P53041,CHEBI:61977,substrate/product
P53041,CHEBI:18420,cofactor
P53041,CHEBI:29035,cofactor
Q8IZY2,CHEBI:15377,substrate/product
Q8IZY2,CHEBI:15378,substrate/product
Q8IZY2,CHEBI:30616,substrate/product
Q8IZY2,CHEBI:43474,substrate/product
Q8IZY2,CHEBI:57643,substrate/product
Q8IZY2,CHEBI:456216,substrate/product
Q8IZY2,CHEBI:57262,substrate/product
O14672,CHEBI:29105,cofactor
P03886,CHEBI:15378,substrate/product
P03886,CHEBI:16389,substrate/product
P03886,CHEBI:17976,substrate/product
P03886,CHEBI:57540,substrate/product
P03886,CHEBI:57945,substrate/product
P49840,CHEBI:15378,substrate/product
P49840,CHEBI:29999,substrate/product
P49840,CHEBI:30616,substrate/product
P49840,CHEBI:83421,substrate/product
P49840,CHEBI:456216,substrate/product
P49840,CHEBI:30013,substrate/product
P49840,CHEBI:61977,substrate/product
P49841,CHEBI:15378,substrate/product
P49841,CHEBI:29999,substrate/product
P49841,CHEBI:30616,substrate/product
P49841,CHEBI:83421,substrate/product
P49841,CHEBI:456216,substrate/product
P49841,CHEBI:30013,substrate/product
P49841,CHEBI:61977,substrate/product
O15269,CHEBI:15378,substrate/product
O15269,CHEBI:16526,substrate/product
O15269,CHEBI:33384,substrate/product
O15269,CHEBI:57287,substrate/product
O15269,CHEBI:57379,substrate/product
O15269,CHEBI:58299,substrate/product
O15269,CHEBI:57394,substrate/product
O15269,CHEBI:65073,substrate/product
O15269,CHEBI:57385,substrate/product
O15269,CHEBI:71007,substrate/product
O15269,CHEBI:57375,substrate/product
O15269,CHEBI:71008,substrate/product
O15269,CHEBI:597326,cofactor
O15294,CHEBI:15378,substrate/product
O15294,CHEBI:29999,substrate/product
O15294,CHEBI:57705,substrate/product
O15294,CHEBI:58223,substrate/product
O15294,CHEBI:90838,substrate/product
O15294,CHEBI:30013,substrate/product
O15294,CHEBI:90840,substrate/product
O95992,CHEBI:13193,substrate/product
O95992,CHEBI:15377,substrate/product
O95992,CHEBI:15379,substrate/product
O95992,CHEBI:16113,substrate/product
O95992,CHEBI:17499,substrate/product
O95992,CHEBI:42977,substrate/product
O95992,CHEBI:15378,substrate/product
O95992,CHEBI:57783,substrate/product
O95992,CHEBI:58349,substrate/product
O95992,CHEBI:24875,cofactor
O00429,CHEBI:15377,substrate/product
O00429,CHEBI:15378,substrate/product
O00429,CHEBI:37565,substrate/product
O00429,CHEBI:43474,substrate/product
O00429,CHEBI:58189,substrate/product
O15270,CHEBI:15378,substrate/product
O15270,CHEBI:16526,substrate/product
O15270,CHEBI:33384,substrate/product
O15270,CHEBI:57287,substrate/product
O15270,CHEBI:57379,substrate/product
O15270,CHEBI:58299,substrate/product
O15270,CHEBI:57394,substrate/product
O15270,CHEBI:65073,substrate/product
O15270,CHEBI:597326,cofactor
Q9P0L2,CHEBI:15378,substrate/product
Q9P0L2,CHEBI:29999,substrate/product
Q9P0L2,CHEBI:30616,substrate/product
Q9P0L2,CHEBI:83421,substrate/product
Q9P0L2,CHEBI:456216,substrate/product
Q9P0L2,CHEBI:30013,substrate/product
Q9P0L2,CHEBI:61977,substrate/product
Q9P0L2,CHEBI:18420,cofactor
Q8IU99,CHEBI:30616,substrate/product
Q8IU99,CHEBI:29108,substrate/product
Q8IU99,CHEBI:18420,substrate/product
Q8IU99,CHEBI:29101,substrate/product
Q8IU99,CHEBI:29103,substrate/product
Q8IU99,CHEBI:49713,substrate/product
Q8IU99,CHEBI:49847,substrate/product
Q8IU99,CHEBI:49547,substrate/product
Q8IU99,CHEBI:17996,substrate/product
Q15392,CHEBI:15378,substrate/product
Q15392,CHEBI:16113,substrate/product
Q15392,CHEBI:17737,substrate/product
Q15392,CHEBI:57783,substrate/product
Q15392,CHEBI:58349,substrate/product
Q15392,CHEBI:16521,substrate/product
Q15392,CHEBI:28113,substrate/product
Q15392,CHEBI:16608,substrate/product
Q15392,CHEBI:18252,substrate/product
Q15392,CHEBI:57692,cofactor
Q8N3A8,CHEBI:15378,substrate/product
Q8N3A8,CHEBI:17154,substrate/product
Q8N3A8,CHEBI:29950,substrate/product
Q8N3A8,CHEBI:57540,substrate/product
Q8N3A8,CHEBI:140607,substrate/product
O75173,CHEBI:29105,cofactor
Q86XJ0,CHEBI:30616,substrate/product
Q86XJ0,CHEBI:29108,substrate/product
Q86XJ0,CHEBI:29101,substrate/product
Q86XJ0,CHEBI:29103,substrate/product
Q86XJ0,CHEBI:17996,substrate/product
Q5SRE7,CHEBI:24875,cofactor
Q9Y2Q3,CHEBI:15378,substrate/product
Q9Y2Q3,CHEBI:16042,substrate/product
Q9Y2Q3,CHEBI:17792,substrate/product
Q9Y2Q3,CHEBI:57925,substrate/product
Q9Y2Q3,CHEBI:90779,substrate/product
P36959,CHEBI:15378,substrate/product
P36959,CHEBI:28938,substrate/product
P36959,CHEBI:57783,substrate/product
P36959,CHEBI:58053,substrate/product
P36959,CHEBI:58115,substrate/product
P36959,CHEBI:58349,substrate/product
Q9UKU6,CHEBI:29105,cofactor
P17655,CHEBI:29108,cofactor
Q7RTY1,CHEBI:57947,substrate/product
Q7RTY1,CHEBI:16347,substrate/product
Q9Y2T3,CHEBI:15377,substrate/product
Q9Y2T3,CHEBI:15378,substrate/product
Q9Y2T3,CHEBI:16235,substrate/product
Q9Y2T3,CHEBI:17712,substrate/product
Q9Y2T3,CHEBI:28938,substrate/product
Q9Y2T3,CHEBI:29105,cofactor
Q6GTS8,CHEBI:15377,substrate/product
Q6GTS8,CHEBI:29067,substrate/product
Q6GTS8,CHEBI:59869,substrate/product
Q6GTS8,CHEBI:59874,substrate/product
Q6GTS8,CHEBI:84824,substrate/product
Q6GTS8,CHEBI:138093,substrate/product
Q6GTS8,CHEBI:30823,substrate/product
Q6GTS8,CHEBI:58095,substrate/product
Q6GTS8,CHEBI:134020,substrate/product
Q6GTS8,CHEBI:57427,substrate/product
Q6GTS8,CHEBI:134035,substrate/product
Q6GTS8,CHEBI:32395,substrate/product
Q6GTS8,CHEBI:57305,substrate/product
Q6GTS8,CHEBI:59002,substrate/product
Q6GTS8,CHEBI:7896,substrate/product
Q6GTS8,CHEBI:149699,substrate/product
Q6GTS8,CHEBI:25629,substrate/product
Q6GTS8,CHEBI:149700,substrate/product
Q6GTS8,CHEBI:77016,substrate/product
Q6GTS8,CHEBI:149701,substrate/product
Q6GTS8,CHEBI:58048,substrate/product
Q6GTS8,CHEBI:149730,substrate/product
Q6GTS8,CHEBI:133992,substrate/product
Q6GTS8,CHEBI:32551,substrate/product
Q6GTS8,CHEBI:149731,substrate/product
Q6GTS8,CHEBI:57844,substrate/product
Q6GTS8,CHEBI:149732,substrate/product
Q6GTS8,CHEBI:33384,substrate/product
Q6GTS8,CHEBI:134031,substrate/product
Q6GTS8,CHEBI:57912,substrate/product
Q6GTS8,CHEBI:149733,substrate/product
Q6GTS8,CHEBI:58315,substrate/product
Q6GTS8,CHEBI:149734,substrate/product
Q6GTS8,CHEBI:58359,substrate/product
Q6GTS8,CHEBI:134033,substrate/product
Q6GTS8,CHEBI:149697,substrate/product
Q6GTS8,CHEBI:134022,substrate/product
Q6GTS8,CHEBI:29105,cofactor
Q99489,CHEBI:15377,substrate/product
Q99489,CHEBI:15379,substrate/product
Q99489,CHEBI:16240,substrate/product
Q99489,CHEBI:16452,substrate/product
Q99489,CHEBI:28938,substrate/product
Q99489,CHEBI:29990,substrate/product
Q99489,CHEBI:16810,substrate/product
Q99489,CHEBI:29986,substrate/product
Q99489,CHEBI:57692,cofactor
Q06830,CHEBI:15377,substrate/product
Q06830,CHEBI:29950,substrate/product
Q06830,CHEBI:30879,substrate/product
Q06830,CHEBI:35924,substrate/product
Q06830,CHEBI:50058,substrate/product
Q96DW6,CHEBI:57305,substrate/product
O60507,CHEBI:15378,substrate/product
O60507,CHEBI:46858,substrate/product
O60507,CHEBI:58339,substrate/product
O60507,CHEBI:58343,substrate/product
O60507,CHEBI:65286,substrate/product
Q9Y285,CHEBI:15378,substrate/product
Q9Y285,CHEBI:30616,substrate/product
Q9Y285,CHEBI:33019,substrate/product
Q9Y285,CHEBI:58095,substrate/product
Q9Y285,CHEBI:78442,substrate/product
Q9Y285,CHEBI:78531,substrate/product
Q9Y285,CHEBI:456215,substrate/product
P51606,CHEBI:16062,substrate/product
P51606,CHEBI:17274,substrate/product
Q14183,CHEBI:29108,cofactor
Q9Y2J8,CHEBI:15377,substrate/product
Q9Y2J8,CHEBI:28938,substrate/product
Q9Y2J8,CHEBI:29965,substrate/product
Q9Y2J8,CHEBI:83397,substrate/product
Q9Y2J8,CHEBI:29108,cofactor
O95299,CHEBI:57692,cofactor
Q14117,CHEBI:11892,substrate/product
Q14117,CHEBI:15377,substrate/product
Q14117,CHEBI:15378,substrate/product
Q14117,CHEBI:15901,substrate/product
Q14117,CHEBI:29105,cofactor
Q96A29,CHEBI:57273,substrate/product
Q96A29,CHEBI:58115,substrate/product
Q16880,CHEBI:15378,substrate/product
Q16880,CHEBI:18390,substrate/product
Q16880,CHEBI:52639,substrate/product
Q16880,CHEBI:58223,substrate/product
Q16880,CHEBI:66914,substrate/product
Q16880,CHEBI:36498,substrate/product
Q16880,CHEBI:83273,substrate/product
Q16880,CHEBI:83244,substrate/product
Q16880,CHEBI:83246,substrate/product
Q16880,CHEBI:83248,substrate/product
Q16880,CHEBI:83257,substrate/product
Q8IZT8,CHEBI:15378,substrate/product
Q8IZT8,CHEBI:58339,substrate/product
Q8IZT8,CHEBI:58343,substrate/product
Q8IZT8,CHEBI:58388,substrate/product
Q8IZT8,CHEBI:70975,substrate/product
Q9ULZ9,CHEBI:29105,cofactor
Q9ULZ9,CHEBI:29108,cofactor
Q9UQ16,CHEBI:15377,substrate/product
Q9UQ16,CHEBI:15378,substrate/product
Q9UQ16,CHEBI:37565,substrate/product
Q9UQ16,CHEBI:43474,substrate/product
Q9UQ16,CHEBI:58189,substrate/product
Q92526,CHEBI:15377,substrate/product
Q92526,CHEBI:15378,substrate/product
Q92526,CHEBI:30616,substrate/product
Q92526,CHEBI:43474,substrate/product
Q92526,CHEBI:456216,substrate/product
O00587,CHEBI:15378,substrate/product
O00587,CHEBI:57705,substrate/product
O00587,CHEBI:58223,substrate/product
O00587,CHEBI:189631,substrate/product
O00587,CHEBI:189634,substrate/product
O00587,CHEBI:189632,substrate/product
O00587,CHEBI:189633,substrate/product
O00587,CHEBI:29035,cofactor
Q15274,CHEBI:15378,substrate/product
Q15274,CHEBI:16526,substrate/product
Q15274,CHEBI:29959,substrate/product
Q15274,CHEBI:33019,substrate/product
Q15274,CHEBI:57502,substrate/product
Q15274,CHEBI:58017,substrate/product
Q9NPH2,CHEBI:58401,substrate/product
Q9NPH2,CHEBI:61548,substrate/product
Q9NPH2,CHEBI:57540,cofactor
Q9UKF2,CHEBI:29105,cofactor
Q9NRA0,CHEBI:15378,substrate/product
Q9NRA0,CHEBI:30616,substrate/product
Q9NRA0,CHEBI:76941,substrate/product
Q9NRA0,CHEBI:84410,substrate/product
Q9NRA0,CHEBI:456216,substrate/product
Q9NRA0,CHEBI:57756,substrate/product
Q9NRA0,CHEBI:60119,substrate/product
Q9NRA0,CHEBI:57817,substrate/product
Q9NRA0,CHEBI:57939,substrate/product
Q9NRA0,CHEBI:64124,substrate/product
Q9NRA0,CHEBI:64795,substrate/product
Q9NRA0,CHEBI:18420,cofactor
O75390,CHEBI:15377,substrate/product
O75390,CHEBI:15378,substrate/product
O75390,CHEBI:16452,substrate/product
O75390,CHEBI:16947,substrate/product
O75390,CHEBI:57287,substrate/product
O75390,CHEBI:57288,substrate/product
P09543,CHEBI:15377,substrate/product
P09543,CHEBI:15378,substrate/product
P09543,CHEBI:66954,substrate/product
P09543,CHEBI:78552,substrate/product
P41252,CHEBI:30616,substrate/product
P41252,CHEBI:33019,substrate/product
P41252,CHEBI:58045,substrate/product
P41252,CHEBI:78442,substrate/product
P41252,CHEBI:78528,substrate/product
P41252,CHEBI:456215,substrate/product
Q9HC21,CHEBI:37575,substrate/product
Q9HC21,CHEBI:58937,substrate/product
Q96T83,CHEBI:15378,substrate/product
Q96T83,CHEBI:29101,substrate/product
Q96T83,CHEBI:29103,substrate/product
P27987,CHEBI:15378,substrate/product
P27987,CHEBI:30616,substrate/product
P27987,CHEBI:57895,substrate/product
P27987,CHEBI:203600,substrate/product
P27987,CHEBI:456216,substrate/product
Q02153,CHEBI:33019,substrate/product
Q02153,CHEBI:37565,substrate/product
Q02153,CHEBI:57746,substrate/product
Q02153,CHEBI:30413,cofactor
Q9BWU1,CHEBI:15378,substrate/product
Q9BWU1,CHEBI:29999,substrate/product
Q9BWU1,CHEBI:30616,substrate/product
Q9BWU1,CHEBI:83421,substrate/product
Q9BWU1,CHEBI:456216,substrate/product
Q9BWU1,CHEBI:30013,substrate/product
Q9BWU1,CHEBI:61977,substrate/product
Q9BX95,CHEBI:15377,substrate/product
Q9BX95,CHEBI:43474,substrate/product
Q9BX95,CHEBI:57817,substrate/product
Q9BX95,CHEBI:57939,substrate/product
Q9BX95,CHEBI:57756,substrate/product
Q9BX95,CHEBI:60119,substrate/product
Q9NY64,CHEBI:4167,substrate/product
Q9NY64,CHEBI:37721,substrate/product
Q9NY64,CHEBI:58539,substrate/product
Q9NY64,CHEBI:16551,substrate/product
Q6ICB0,CHEBI:7896,substrate/product
Q6ICB0,CHEBI:15377,substrate/product
Q6ICB0,CHEBI:15378,substrate/product
Q6ICB0,CHEBI:29950,substrate/product
Q6ICB0,CHEBI:74151,substrate/product
Q9UPW8,CHEBI:29108,cofactor
Q9Y2J0,CHEBI:29108,cofactor
Q13228,CHEBI:15377,substrate/product
Q13228,CHEBI:15378,substrate/product
Q13228,CHEBI:15379,substrate/product
Q13228,CHEBI:16007,substrate/product
Q13228,CHEBI:16240,substrate/product
Q13228,CHEBI:16842,substrate/product
Q13228,CHEBI:29919,substrate/product
Q16795,CHEBI:57692,cofactor
P54750,CHEBI:15377,substrate/product
P54750,CHEBI:15378,substrate/product
P54750,CHEBI:57867,substrate/product
P54750,CHEBI:58464,substrate/product
P54750,CHEBI:57746,substrate/product
P54750,CHEBI:58115,substrate/product
P54750,CHEBI:58165,substrate/product
P54750,CHEBI:456215,substrate/product
P54750,CHEBI:29105,cofactor
P54750,CHEBI:18420,cofactor
Q8N568,CHEBI:15378,substrate/product
Q8N568,CHEBI:29999,substrate/product
Q8N568,CHEBI:30616,substrate/product
Q8N568,CHEBI:83421,substrate/product
Q8N568,CHEBI:456216,substrate/product
Q8N568,CHEBI:30013,substrate/product
Q8N568,CHEBI:61977,substrate/product
P78330,CHEBI:15377,substrate/product
P78330,CHEBI:33384,substrate/product
P78330,CHEBI:43474,substrate/product
P78330,CHEBI:57524,substrate/product
P78330,CHEBI:35247,substrate/product
P78330,CHEBI:58680,substrate/product
P78330,CHEBI:18420,cofactor
Q8NEX9,CHEBI:15378,substrate/product
Q8NEX9,CHEBI:57540,substrate/product
Q8NEX9,CHEBI:57945,substrate/product
Q8NEX9,CHEBI:134626,substrate/product
Q8NEX9,CHEBI:232325,substrate/product
Q8NEX9,CHEBI:77891,substrate/product
Q8NEX9,CHEBI:77892,substrate/product
Q99798,CHEBI:15562,substrate/product
Q99798,CHEBI:16947,substrate/product
Q99798,CHEBI:49883,cofactor
Q9GZT4,CHEBI:33384,substrate/product
Q9GZT4,CHEBI:35247,substrate/product
Q9GZT4,CHEBI:15361,substrate/product
Q9GZT4,CHEBI:28938,substrate/product
Q9GZT4,CHEBI:18420,cofactor
Q9GZT4,CHEBI:29035,cofactor
Q9GZT4,CHEBI:29108,cofactor
Q9GZT4,CHEBI:597326,cofactor
P13804,CHEBI:57692,cofactor
P13929,CHEBI:15377,substrate/product
P13929,CHEBI:58289,substrate/product
P13929,CHEBI:58702,substrate/product
P13929,CHEBI:18420,cofactor
P48549,CHEBI:29103,substrate/product
P53794,CHEBI:17268,substrate/product
P53794,CHEBI:29101,substrate/product
P53794,CHEBI:10642,substrate/product
Q9UPR5,CHEBI:29101,substrate/product
