uniprot_id,pathway_id,pathway_name,pathway_source
Q9BXS0,hsa:84570,,KEGG
Q9BXS0,R-HSA-1442490,Collagen degradation,Reactome
Q9BXS0,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,Reactome
Q9BXS0,R-HSA-8948216,Collagen chain trimerization,Reactome
P05067,hsa:351,,KEGG
P05067,R-HSA-114608,Platelet degranulation,Reactome
P05067,R-HSA-3000178,ECM proteoglycans,Reactome
P05067,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome
P05067,R-HSA-416476,G alpha (q) signalling events,Reactome
P05067,R-HSA-418594,G alpha (i) signalling events,Reactome
P05067,R-HSA-432720,Lysosome Vesicle Biogenesis,Reactome
P05067,R-HSA-444473,Formyl peptide receptors bind formyl peptides and many other ligands,Reactome
P05067,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation,Reactome
P05067,R-HSA-844456,The NLRP3 inflammasome,Reactome
P05067,R-HSA-879415,Advanced glycosylation endproduct receptor signaling,Reactome
P05067,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Reactome
P05067,R-HSA-8957275,Post-translational protein phosphorylation,Reactome
P05067,R-HSA-933542,TRAF6 mediated NF-kB activation,Reactome
P05067,R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Reactome
P05067,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,Reactome
P05067,R-HSA-977225,Amyloid fiber formation,Reactome
P05067,R-HSA-9837999,Mitochondrial protein degradation,Reactome
Q12830,hsa:2186,,KEGG
Q92673,hsa:6653,,KEGG
Q92673,R-HSA-977225,Amyloid fiber formation,Reactome
P02649,hsa:348,,KEGG
P02649,R-HSA-1251985,Nuclear signaling by ERBB4,Reactome
P02649,R-HSA-3000480,Scavenging by Class A Receptors,Reactome
P02649,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome
