Pathway_ID,Pathway_Name,n_proteins,AD_Related,ML_Probability,Statistical_Rank,ML_Rank,Rank_Diff
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,21,1,1.0,13.5,3.0,10.5
R-HSA-5419276,Mitochondrial translation termination,30,1,1.0,4.0,3.0,1.0
R-HSA-5389840,Mitochondrial translation elongation,28,1,1.0,5.0,3.0,2.0
R-HSA-9937383,Mitochondrial ribosome-associated quality control,27,1,1.0,6.5,3.0,3.5
R-HSA-5368286,Mitochondrial translation initiation,27,1,1.0,6.5,3.0,3.5
R-HSA-6798695,Neutrophil degranulation,66,1,0.99,2.0,8.5,-6.5
R-HSA-114608,Platelet degranulation,26,1,0.99,8.0,8.5,-0.5
R-HSA-6794361,Neurexins and neuroligins,18,1,0.99,22.5,8.5,14.0
R-HSA-9013404,RAC2 GTPase cycle,19,1,0.99,19.0,8.5,10.5
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),19,1,0.99,19.0,8.5,10.5
R-HSA-9679191,Potential therapeutics for SARS,19,1,0.99,19.0,8.5,10.5
0,,533,1,0.97,1.0,12.5,-11.5
R-HSA-8856828,Clathrin-mediated endocytosis,23,1,0.97,9.5,12.5,-3.0
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,20,1,0.96,16.0,15.5,0.5
R-HSA-9013148,CDC42 GTPase cycle,18,1,0.96,22.5,15.5,7.0
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,21,1,0.96,13.5,15.5,-2.0
R-HSA-9013149,RAC1 GTPase cycle,31,1,0.96,3.0,15.5,-12.5
R-HSA-9837999,Mitochondrial protein degradation,23,1,0.95,9.5,18.0,-8.5
R-HSA-8980692,RHOA GTPase cycle,17,1,0.94,26.0,19.5,6.5
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,17,1,0.94,26.0,19.5,6.5
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",17,1,0.93,26.0,21.0,5.0
R-HSA-2132295,MHC class II antigen presentation,21,1,0.91,13.5,22.5,-9.0
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,17,1,0.91,26.0,22.5,3.5
R-HSA-418594,G alpha (i) signalling events,19,1,0.9,19.0,25.0,-6.0
R-HSA-8957275,Post-translational protein phosphorylation,17,1,0.9,26.0,25.0,1.0
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,16,1,0.9,30.0,25.0,5.0
R-HSA-5673001,RAF/MAP kinase cascade,21,1,0.88,13.5,27.5,-14.0
R-HSA-611105,Respiratory electron transport,22,1,0.88,11.0,27.5,-16.5
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,19,1,0.87,19.0,29.5,-10.5
R-HSA-1257604,PIP3 activates AKT signaling,16,1,0.87,30.0,29.5,0.5
R-HSA-1989781,PPARA activates gene expression,16,1,0.83,30.0,31.0,-1.0
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,15,1,0.69,34.0,32.0,2.0
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",9,1,0.57,94.5,33.0,61.5
R-HSA-977225,Amyloid fiber formation,14,1,0.54,40.5,34.0,6.5
R-HSA-9664422,FCGR3A-mediated phagocytosis,15,0,0.16,34.0,35.5,-1.5
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,14,0,0.16,40.5,35.5,5.0
R-HSA-437239,Recycling pathway of L1,15,0,0.14,34.0,38.0,-4.0
R-HSA-9013423,RAC3 GTPase cycle,15,0,0.14,34.0,38.0,-4.0
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,14,0,0.14,40.5,38.0,2.5
R-HSA-202733,Cell surface interactions at the vascular wall,14,0,0.1,40.5,41.0,-0.5
R-HSA-1236974,ER-Phagosome pathway,14,0,0.1,40.5,41.0,-0.5
R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,14,0,0.1,40.5,41.0,-0.5
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,15,0,0.08,34.0,43.0,-9.0
R-HSA-8951664,Neddylation,14,0,0.07,40.5,44.0,-3.5
R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,9,0,0.06,94.5,45.0,49.5
R-HSA-6783783,Interleukin-10 signaling,10,0,0.04,74.5,46.0,28.5
R-HSA-383280,Nuclear Receptor transcription pathway,9,0,0.03,94.5,50.0,44.5
R-HSA-9620244,Long-term potentiation,11,0,0.03,61.0,50.0,11.0
R-HSA-1474228,Degradation of the extracellular matrix,14,0,0.03,40.5,50.0,-9.5
R-HSA-912631,Regulation of signaling by CBL,11,0,0.03,61.0,50.0,11.0
