Pathway_ID,Cofactor,Ion,Metabolite,Neurotransmitter,Total_Proteins
R-HSA-6798695,15,4,105,0,66
R-HSA-9013149,10,8,38,1,31
R-HSA-5419276,7,1,17,0,30
R-HSA-5389840,2,1,12,0,28
R-HSA-5368286,1,1,8,0,27
R-HSA-9937383,1,1,8,0,27
R-HSA-114608,2,0,4,0,26
R-HSA-8856828,3,0,21,0,23
R-HSA-9837999,30,3,110,0,23
R-HSA-611105,28,0,37,0,22
R-HSA-6785807,2,3,55,0,21
R-HSA-5673001,7,0,42,0,21
R-HSA-2132295,4,3,14,1,21
R-HSA-8862803,1,0,35,0,21
R-HSA-9013404,6,0,21,0,19
R-HSA-9679191,5,0,28,0,19
R-HSA-381426,1,0,1,0,19
R-HSA-9725370,5,0,30,0,19
R-HSA-6794361,0,0,8,0,18
R-HSA-9013148,4,0,12,0,18
R-HSA-8980692,3,0,12,0,17
R-HSA-8957275,1,0,1,0,17
R-HSA-6811558,8,0,44,0,17
R-HSA-983168,2,0,0,0,17
R-HSA-8856825,0,0,5,0,17
R-HSA-1257604,6,0,40,0,16
R-HSA-2029482,7,0,20,0,16
R-HSA-1989781,6,1,77,0,16
R-HSA-437239,8,0,24,0,15
R-HSA-9664422,7,0,22,0,15
R-HSA-9013423,5,8,14,1,15
R-HSA-9680350,5,0,54,0,15
R-HSA-9705671,5,0,24,0,15
R-HSA-9662360,3,0,10,0,14
R-HSA-8951664,1,0,4,0,14
R-HSA-977225,2,0,4,0,14
R-HSA-2219530,4,0,28,0,14
R-HSA-1474228,3,0,2,0,14
R-HSA-3928665,5,0,16,0,14
R-HSA-1236974,3,0,10,0,14
R-HSA-202733,1,0,4,0,14
R-HSA-4420097,6,0,27,0,13
R-HSA-6799198,23,0,25,0,13
R-HSA-2644606,3,0,18,0,12
R-HSA-9013408,4,0,9,0,12
R-HSA-5689880,4,0,15,2,12
R-HSA-2029485,4,0,81,0,12
R-HSA-877300,5,3,25,1,12
R-HSA-2894862,3,0,18,0,12
R-HSA-912631,5,0,32,0,11
